lsoa,avg_lat,avg_long
E01000001,51.519453581666674,-0.09641666666666666
E01000002,51.51969073,-0.09256299350000001
E01000003,51.52199880142857,-0.09624285714285714
E01000005,51.514262085,-0.0754
E01000006,51.53905536999999,0.0883127246
E01000007,51.5404244975,0.07654868349999999
E01000008,51.5407947025,0.07085
E01000009,51.54074292400001,0.08343644380000001
E01000010,51.537023135,0.07944999999999999
E01000011,51.542959440000004,0.0806808405
E01000012,51.542810104,0.07336000000000001
E01000013,51.543358614,0.1468434276
E01000014,51.54377022,0.14219972316666665
E01000015,51.544001878,0.1549213596
E01000016,51.549362838,0.150934059
E01000017,51.549449426,0.1462070304
E01000018,51.546417326000004,0.15168934039999998
E01000019,51.5584721,0.120829344
E01000020,51.556296406,0.1247746692
E01000021,51.554562698000005,0.11621160459999999
E01000022,51.5540595625,0.12116503149999999
E01000023,51.551417953333335,0.11140171833333333
E01000024,51.551075245,0.12084586375
E01000025,51.549404689999996,0.11799154460000001
E01000027,51.587461870000006,0.137835194
E01000028,51.584935384000005,0.1294018612
E01000029,51.57986472666666,0.1346110345
E01000030,51.583348875000006,0.13669899566666666
E01000031,51.575727052000005,0.1392760902
E01000032,51.574521558,0.1353517386
E01000033,51.55513629,0.16315828100000002
E01000034,51.5557318875,0.16985878425
E01000035,51.548490042000005,0.1641627088
E01000036,51.54564265,0.162275213
E01000037,51.562448882,0.1796000412
E01000038,51.563128956,0.172995454
E01000039,51.558730530000005,0.180316676
E01000040,51.536614712,0.0970989866
E01000041,51.538053284,0.11613781279999999
E01000042,51.537443048,0.106073068
E01000043,51.534097305,0.09857348925000001
E01000044,51.535901232,0.090722228
E01000045,51.535129387999994,0.1127145512
E01000046,51.536544363999994,0.1200188664
E01000048,51.531686660000005,0.08398
E01000049,51.530706028,0.08552
E01000050,51.534588266,0.08566
E01000051,51.53395913000001,0.0826283012
E01000052,51.53260107666667,0.09255015966666667
E01000053,51.532841676,0.1436377954
E01000054,51.53673045000001,0.1325729146
E01000055,51.53575352200001,0.1259518374
E01000056,51.534535755,0.13655095325
E01000057,51.537741455,0.125921962
E01000058,51.53958098333334,0.13604219383333335
E01000059,51.536350477999996,0.141581917
E01000060,51.55723934666667,0.15230588966666667
E01000061,51.560862631999996,0.15251548
E01000062,51.55366913666666,0.15247396316666667
E01000063,51.556096221999994,0.14565436240000001
E01000064,51.55355868,0.1575080082
E01000065,51.55253561166666,0.14316436033333332
E01000066,51.546827368,0.10630448480000002
E01000067,51.54706725999999,0.10094558579999999
E01000068,51.5410478175,0.0908
E01000069,51.5431872525,0.0994426995
E01000070,51.543777528,0.09382
E01000071,51.539932946,0.099620088
E01000072,51.54198316142857,0.11478316342857144
E01000073,51.545784260000005,0.11629458
E01000074,51.546011158,0.120660849
E01000075,51.541782483999995,0.1257424892
E01000076,51.54103879666667,0.12012676783333333
E01000077,51.549636596000006,0.126050993
E01000078,51.55229103199999,0.1324063308
E01000079,51.546986668,0.1412160518
E01000080,51.548642338,0.1312837258
E01000081,51.550170795999996,0.1382210704
E01000082,51.554602597999995,0.1388040262
E01000083,51.553690456000005,0.1286346248
E01000084,51.5397234575,0.1454825635
E01000085,51.53797244,0.1502527008
E01000086,51.5367451925,0.14606348525
E01000087,51.5327608375,0.15124705775
E01000088,51.53332921,0.1553111646
E01000089,51.530483849999996,0.160396111
E01000090,51.528912235,0.15881506875
E01000091,51.527744516000006,0.1093161552
E01000092,51.52582223666666,0.10116321855555556
E01000093,51.528822760000004,0.101346456
E01000094,51.52638363,0.11597151000000001
E01000095,51.528773325,0.12579266075
E01000096,51.531925988333334,0.11432054983333334
E01000097,51.563823107999994,0.12925213060000001
E01000098,51.56087769,0.1270368986
E01000099,51.561751263999994,0.13241605139999998
E01000100,51.559367346,0.138883282
E01000101,51.55900201199999,0.1441176194
E01000102,51.55704144599999,0.1322822634
E01000103,51.536123676,0.1666618408
E01000104,51.53900711,0.166515197
E01000105,51.54061393,0.15332395299999999
E01000106,51.540530957142856,0.15923620871428573
E01000107,51.541277812,0.17388675739999998
E01000108,51.542487828000006,0.16583930019999998
E01000109,51.56262223,0.1408828692
E01000110,51.573758295,0.14564182274999998
E01000111,51.56948223333333,0.145067643
E01000112,51.570243364,0.13818178379999999
E01000113,51.569876586,0.1336332468
E01000114,51.56460576999999,0.14863778116666668
E01000115,51.636308035,-0.1420952635
E01000116,51.633573286,-0.146578179
E01000117,51.632926356,-0.1568929276
E01000118,51.630961988,-0.1520597204
E01000119,51.6299841425,-0.13599595775
E01000120,51.63223096,-0.14016662325
E01000121,51.62758424,-0.14913401175
E01000122,51.626144025,-0.137670503
E01000123,51.622168597999995,-0.1441537014
E01000124,51.618266846000004,-0.1430705068
E01000125,51.60490939875,-0.269031518375
E01000126,51.600772103333334,-0.2512777938333333
E01000127,51.606093345,-0.2594010635
E01000128,51.601412108,-0.2590458082
E01000129,51.601272087999995,-0.26416282820000003
E01000130,51.60432168,-0.253938097
E01000131,51.597794871999994,-0.2552568162
E01000132,51.6088515275,-0.257418168
E01000133,51.607618992000006,-0.25193417900000004
E01000134,51.607462466,-0.2656308676
E01000135,51.56827734,-0.2010364215
E01000136,51.5675765975,-0.1920096865
E01000137,51.564228768,-0.20119616860000003
E01000138,51.56403264,-0.2057126805
E01000139,51.5602323875,-0.2012456755
E01000140,51.56241714,-0.196824015
E01000141,51.558572919999996,-0.21377786883333336
E01000142,51.56190435125,-0.2113509435
E01000143,51.55797491,-0.2094493895
E01000144,51.574321494,-0.19906600459999998
E01000145,51.572993804999996,-0.205143327
E01000146,51.570698814,-0.1973909938
E01000147,51.589893579999995,-0.24940983025000002
E01000148,51.592525402,-0.2540440058
E01000150,51.58622150333333,-0.24437844183333332
E01000151,51.601352924000004,-0.2442040706
E01000152,51.604802389999996,-0.2451685056
E01000153,51.604862618000006,-0.24799658600000002
E01000154,51.598738929999996,-0.244088307
E01000155,51.59709093,-0.24921557614285714
E01000156,51.600438067999995,-0.1483896442
E01000157,51.603171972,-0.14498603599999998
E01000158,51.616878094,-0.1519385124
E01000159,51.619244472000005,-0.1560315246
E01000160,51.61446333666667,-0.14726049
E01000161,51.61345492,-0.153839713
E01000162,51.61217817,-0.1587156295
E01000163,51.607419994999994,-0.14540503666666668
E01000164,51.604406522,-0.1502788494
E01000165,51.609671768,-0.15000707100000002
E01000166,51.653198286,-0.1593956268
E01000167,51.65422634,-0.16648113775
E01000168,51.649166390000005,-0.15574278979999998
E01000169,51.650436125,-0.16465849116666667
E01000170,51.64582082,-0.16489786280000002
E01000171,51.64816242333333,-0.16973720483333332
E01000172,51.64379662,-0.1516536828
E01000173,51.642198117999996,-0.15865601000000001
E01000174,51.64161824,-0.1652698948
E01000175,51.637735817999996,-0.1631144344
E01000176,51.59540136500001,-0.17898162683333332
E01000177,51.592928547999996,-0.1718523862
E01000178,51.593448174,-0.16481498320000001
E01000179,51.59452528333333,-0.176610449
E01000180,51.58997802833333,-0.17044055883333334
E01000181,51.591092242,-0.1636683492
E01000182,51.588667994000005,-0.1627556188
E01000183,51.589691001999995,-0.1764576066
E01000184,51.6005962575,-0.17138556524999998
E01000185,51.59572479,-0.17240426339999998
E01000186,51.623003205,-0.27493437924999997
E01000187,51.626709043999995,-0.2719474658
E01000188,51.625763285,-0.28226991125
E01000189,51.620801212,-0.28852464580000003
E01000190,51.61898573,-0.2845843935
E01000191,51.6204290075,-0.27875169125
E01000192,51.61633343999999,-0.2732660562
E01000193,51.61486754,-0.279684268
E01000194,51.6108749075,-0.27416642175
E01000195,51.630168944000005,-0.26875287999999997
E01000196,51.59790047333333,-0.196208203
E01000197,51.597801484,-0.188030287
E01000198,51.59596115000001,-0.21464082599999998
E01000199,51.5992983,-0.20821432099999998
E01000200,51.596202088333335,-0.20371117966666666
E01000201,51.591797225,-0.20429399525
E01000202,51.594390008000005,-0.19656870499999998
E01000203,51.592294777999996,-0.19364865979999998
E01000204,51.60202645,-0.2008003966
E01000205,51.58699204,-0.18915324220000002
E01000206,51.5752781525,-0.1768753555
E01000207,51.582811126,-0.1839499312
E01000208,51.585877958000005,-0.1706630228
E01000209,51.58379148833333,-0.19484248550000002
E01000210,51.58812347200001,-0.180908816
E01000211,51.585410005,-0.19776144033333334
E01000212,51.5781273275,-0.1939363615
E01000213,51.5803938375,-0.17912461999999998
E01000214,51.57257846,-0.1898127162
E01000215,51.580284198,-0.2091066894
E01000216,51.57896864000001,-0.200700837
E01000217,51.583478715,-0.202781608
E01000218,51.577636945,-0.205934666
E01000219,51.5759550425,-0.2120982875
E01000220,51.57506381,-0.20820063725
E01000221,51.572970762500006,-0.216905355
E01000222,51.569263015,-0.2125773175
E01000223,51.5670678325,-0.21901214424999998
E01000224,51.565894022500004,-0.212781528
E01000225,51.5855498575,-0.20591157025
E01000226,51.610411106,-0.2655762502
E01000227,51.614615766,-0.2665425974
E01000228,51.626719405,-0.2495819115
E01000229,51.624903968,-0.26539925740000003
E01000230,51.622902636000006,-0.2687116362
E01000231,51.624340856,-0.25773493
E01000232,51.619574262,-0.2613266592
E01000233,51.61458512200001,-0.2608240252
E01000234,51.615530838,-0.25547238539999995
E01000235,51.610959615,-0.25405169325
E01000236,51.584688466,-0.2136969074
E01000237,51.58551937,-0.2246059078
E01000238,51.58844500400001,-0.21354956679999998
E01000239,51.59165457285714,-0.234472378
E01000240,51.597914772500005,-0.231125329
E01000241,51.594686514,-0.2254611942
E01000242,51.592578178,-0.216881186
E01000243,51.590308994999994,-0.2212191463333333
E01000244,51.5907272875,-0.22707363725000002
