E09000002,Barking and Dagenham,43,Arabic,677
E09000002,Barking and Dagenham,45,West or Central Asian language: Kurdish,118
E09000002,Barking and Dagenham,46,West or Central Asian language: Persian or Farsi,405
E09000002,Barking and Dagenham,47,West or Central Asian language: Pashto,379
E09000002,Barking and Dagenham,48,West or Central Asian language: Any other West or Central Asian language,77
E09000002,Barking and Dagenham,49,South Asian language: Urdu,3791
E09000002,Barking and Dagenham,50,South Asian language: Hindi,424
E09000002,Barking and Dagenham,51,South Asian language: Panjabi,2448
E09000002,Barking and Dagenham,52,South Asian language: Pakistani Pahari (with Mirpuri and Potwari),8
E09000002,Barking and Dagenham,53,South Asian language: Bengali (with Sylheti and Chatgaya),6475
E09000002,Barking and Dagenham,54,South Asian language: Gujarati,635
E09000002,Barking and Dagenham,55,South Asian language: Marathi,56
E09000002,Barking and Dagenham,56,South Asian language: Telugu,438
E09000002,Barking and Dagenham,57,South Asian language: Tamil,1113
E09000002,Barking and Dagenham,58,South Asian language: Malayalam,559
E09000002,Barking and Dagenham,59,South Asian language: Sinhala,84
E09000002,Barking and Dagenham,60,South Asian language: Nepalese,233
E09000002,Barking and Dagenham,61,South Asian language: Any other South Asian language,154
E09000002,Barking and Dagenham,62,East Asian language: Mandarin Chinese,140
E09000002,Barking and Dagenham,63,East Asian language: Cantonese Chinese,178
E09000002,Barking and Dagenham,64,East Asian language: All other Chinese,338
E09000002,Barking and Dagenham,65,East Asian language: Japanese,18
E09000002,Barking and Dagenham,66,East Asian language: Korean,17
E09000002,Barking and Dagenham,67,East Asian language: Vietnamese,87
E09000002,Barking and Dagenham,68,East Asian language: Thai,53
E09000002,Barking and Dagenham,69,East Asian language: Malay,20
E09000002,Barking and Dagenham,70,East Asian language: Tagalog or Filipino,393
E09000002,Barking and Dagenham,71,East Asian language: Any other East Asian language,54
E09000002,Barking and Dagenham,72,Oceanic or Australian language,1
E09000002,Barking and Dagenham,75,Caribbean Creole: Any other Caribbean Creole,21
E09000002,Barking and Dagenham,76,African language: Amharic,90
E09000002,Barking and Dagenham,77,African language: Tigrinya,61
E09000002,Barking and Dagenham,78,African language: Somali,368
E09000002,Barking and Dagenham,79,African language: Krio,14
E09000002,Barking and Dagenham,80,African language: Akan,522
E09000002,Barking and Dagenham,81,African language: Yoruba,438
E09000002,Barking and Dagenham,82,African language: Igbo,495
E09000002,Barking and Dagenham,83,African language: Swahili or Kiswahili,465
E09000002,Barking and Dagenham,84,African language: Luganda,68
E09000002,Barking and Dagenham,85,African language: Lingala,250
E09000002,Barking and Dagenham,86,African language: Shona,68
E09000002,Barking and Dagenham,87,African language: Afrikaans,5
E09000002,Barking and Dagenham,88,African language: Any other Nigerian language,107
E09000002,Barking and Dagenham,89,African language: Any other West African language,161
E09000002,Barking and Dagenham,90,African language: Any other African language,125
E09000002,Barking and Dagenham,91,Sign language: British Sign Language,149
E09000002,Barking and Dagenham,92,Sign language: Any other sign language,7
E09000002,Barking and Dagenham,93,Sign language: Any sign communication system,8
E09000002,Barking and Dagenham,94,Other language,81
E09000003,Barnet,1,English (English or Welsh in Wales),289057
E09000003,Barnet,2,Welsh or Cymraeg (in England only),24
E09000003,Barnet,3,Other UK language: Gaelic (Irish),12
E09000003,Barnet,4,Other UK language: Gaelic (Scottish),1
E09000003,Barnet,6,Other UK language: Gaelic (Not otherwise specified),3
E09000003,Barnet,8,Other UK language: Scots,1
E09000003,Barnet,10,Other UK language: Romany English,38
E09000003,Barnet,11,Other UK language: Irish Traveller Cant,1
E09000003,Barnet,12,French,1611
E09000003,Barnet,13,Portuguese,3926
E09000003,Barnet,14,Spanish,3182
E09000003,Barnet,15,Other European language (EU): Italian,2954
E09000003,Barnet,16,Other European language (EU): German,556
E09000003,Barnet,17,Other European language (EU): Polish,5542
E09000003,Barnet,18,Other European language (EU): Slovak,754
E09000003,Barnet,19,Other European language (EU): Czech,419
E09000003,Barnet,20,Other European language (EU): Romanian,11164
E09000003,Barnet,21,Other European language (EU): Lithuanian,669
E09000003,Barnet,22,Other European language (EU): Latvian,115
E09000003,Barnet,23,Other European language (EU): Hungarian,1928
E09000003,Barnet,24,Other European language (EU): Bulgarian,2238
E09000003,Barnet,25,Other European language (EU): Greek,2928
E09000003,Barnet,26,Other European language (EU): Dutch,178
E09000003,Barnet,27,Other European language (EU): Swedish,165
E09000003,Barnet,28,Other European language (EU): Danish,65
E09000003,Barnet,29,Other European language (EU): Finnish,41
E09000003,Barnet,30,Other European language (EU): Estonian,25
E09000003,Barnet,31,Other European language (EU): Slovenian,33
E09000003,Barnet,32,Other European language (EU): Maltese,10
E09000003,Barnet,33,Other European language (EU): Any other European language (EU),64
E09000003,Barnet,34,Other European language (non EU): Albanian,3209
E09000003,Barnet,35,Other European language (non EU): Ukrainian,296
E09000003,Barnet,36,Other European language (non EU): Any other Eastern European language (non EU),7
E09000003,Barnet,37,Other European language (non EU): Northern European language (non EU),90
E09000003,Barnet,38,"Other European language (EU and non-EU): Bosnian, Croatian, Serbian, and Montenegrin",515
E09000003,Barnet,39,Other European language (non-national): Any Romani language,2
E09000003,Barnet,40,Other European language (non-national): Yiddish,9
E09000003,Barnet,41,Russian,1506
E09000003,Barnet,42,Turkish,2336
E09000003,Barnet,43,Arabic,3806
E09000003,Barnet,44,West or Central Asian language: Hebrew,1470
E09000003,Barnet,45,West or Central Asian language: Kurdish,638
E09000003,Barnet,46,West or Central Asian language: Persian or Farsi,8442
E09000003,Barnet,47,West or Central Asian language: Pashto,2173
E09000003,Barnet,48,West or Central Asian language: Any other West or Central Asian language,399
E09000003,Barnet,49,South Asian language: Urdu,1178
E09000003,Barnet,50,South Asian language: Hindi,721
E09000003,Barnet,51,South Asian language: Panjabi,454
E09000003,Barnet,52,South Asian language: Pakistani Pahari (with Mirpuri and Potwari),1
E09000003,Barnet,53,South Asian language: Bengali (with Sylheti and Chatgaya),768
E09000003,Barnet,54,South Asian language: Gujarati,5207
E09000003,Barnet,55,South Asian language: Marathi,182
E09000003,Barnet,56,South Asian language: Telugu,172
E09000003,Barnet,57,South Asian language: Tamil,1185
E09000003,Barnet,58,South Asian language: Malayalam,293
E09000003,Barnet,59,South Asian language: Sinhala,304
E09000003,Barnet,60,South Asian language: Nepalese,590
E09000003,Barnet,61,South Asian language: Any other South Asian language,267
E09000003,Barnet,62,East Asian language: Mandarin Chinese,609
E09000003,Barnet,63,East Asian language: Cantonese Chinese,1272
E09000003,Barnet,64,East Asian language: All other Chinese,1968
E09000003,Barnet,65,East Asian language: Japanese,1653
E09000003,Barnet,66,East Asian language: Korean,211
